,text,Degree of Injury
566,employe fall from ladder and sustain a broken leg,Nonfatal
567,employe finger tip are amput when caught in hopper g,Nonfatal
568,employe leg is amput when struck by a hydraul cylin,Nonfatal
569,employe is kill while remov electr light fixtur,Fatal
570,employe trip and fall from flatb and is injur,Nonfatal
571,employe injur knee when flee from cow,Nonfatal
572,employe finger is cut and infect,Nonfatal
573,employe is struck and kill by hook,Fatal
574,roof worker fall from ladder and fractur both ankl,Nonfatal
575,worker oper circular saw incur finger amput,Nonfatal
576,employe is shock and burn by electr arc flash/blast,Nonfatal
577,employe fall from truck and sustain a broken leg,Nonfatal
578,employe is struck by a power industri truck and sustain,Nonfatal
579,employe is kill in fire from propan gas oven,Fatal
580,employe is burn by hot water dure mainten train,Nonfatal
581,foreman fall from scaffold and incur multipl injuri,Nonfatal
582,employe kill dure restaur robberi,Fatal
583,employe hand is smash when caught between metal rod and,Nonfatal
584,employe injur eye when poke by metal wire protrud fro,Nonfatal
585,employe is kill when forklift fall off dock crush him,Fatal
586,employe is injur in fall through temporari floor hole,Nonfatal
587,"employe fall from ladder, struck by object, and is kill",Fatal
588,employe fractur leg when trench partial collaps,Nonfatal
589,"employe fall from bucket truck, later die",Fatal
590,employe is injur in fall through roof hole,Nonfatal
591,three employe receiv electr burn when a light pole ,Nonfatal
592,employe is burn from arc flash while troubleshoot swit,Nonfatal
593,employe is electrocut when bucket truck contact power li,Fatal
594,employe is injur when section of the boom fall on leg,Nonfatal
595,employe is injur in fall from roof,Nonfatal
596,employe is struck and kill by fall pipe from truck,Fatal
597,employe is injur in fall from deck joist,Nonfatal
598,employe fall from roof and is kill,Fatal
599,employe fall 30 feet from an elev bucket and fractur,Nonfatal
600,employe start ethanol solvent recycl and is burn in fl,Nonfatal
601,employe catch finger insid cluster mixer and amput t,Nonfatal
602,employe fall from ladder and is treat for broken wrist,Nonfatal
603,employe is cut metal rebar and crush hand,Nonfatal
604,employe remov misf paper and trap finger in binderi dr,Nonfatal
605,employe is struck by inject mold and suffer sever inj,Nonfatal
606,employe burn leg while cut bolt and later is hospit,Nonfatal
607,employe fall into well and sustain minor injuri,Nonfatal
608,employe catch finger between jaw assembl and sign post a,Nonfatal
609,employe is injur in fall from roof,Nonfatal
610,employe is injur when trench collaps,Nonfatal
611,employe fall from elev platform and injur right shou,Nonfatal
612,employe fall when descend from a ladder and is injur,Nonfatal
613,employe is injur in fall from fire truck,Nonfatal
614,employe amput finger inspect machineri,Nonfatal
615,employe is electrocut,Fatal
616,employe is expos to airborn powder; suffer headach an,Nonfatal
617,employe is injur in fall from ladder,Nonfatal
618,employe die from heart attack,Fatal
619,by-stand is crush and kill by trench box,Fatal
620,employe is electrocut,Fatal
621,employe is injur in fall from fifth floor while set u,Nonfatal
622,employe is kill when run over by pave machin,Fatal
623,two employe are injur then balloon wall fall,Nonfatal
624,employe is kill when power industri truck tip over,Fatal
625,employe is kill when power industri truck tip over,Fatal
626,employe is injur when trench collaps,Nonfatal
627,employe receiv burn when spray with green liquor while,Nonfatal
628,employe amput thumb on steel beam,Nonfatal
629,employe is caught between two print press roller and cr,Nonfatal
630,employe catch hand under hoist cabl and crush three fi,Nonfatal
631,employe fall from ladder and fractur ankl,Nonfatal
632,employe is struck by forklift and suffer multipl injuri,Nonfatal
633,employe clear cut wood from saw and lacer finger with ,Nonfatal
634,employe catch finger in vise and crush them,Nonfatal
635,employe fall from ladder and is injur,Nonfatal
636,employe is run over by forklift and fractur toe,Nonfatal
637,employe catch finger in press brake and amput it,Nonfatal
638,employe is struck by metal plate and suffer multipl inju,Nonfatal
639,employe open hot water pipe and receiv second degre bur,Nonfatal
640,employe finger is amput while clean equip,Nonfatal
641,employe fall from box load on forklift and is injur,Nonfatal
642,employe is weld drum bolt and receiv burn on upper bo,Nonfatal
643,employe is clear jam and catch hand between roller,Nonfatal
644,employe fall while dismount truck bed and fractur leg,Nonfatal
645,employe fall from ladder and fractur hip,Nonfatal
646,employe is kill when crush by fall object,Fatal
647,employe is check ventil system and amput two fi,Nonfatal
648,employe fall from ladder and is injur,Nonfatal
649,employe is kill when mix tank is turn on dure clea,Fatal
650,employe is kill when mix tank is turn on dure clea,Fatal
651,employe is kill when thrown from bus by releas of cylind,Fatal
652,employe fall through floor open and sustain multipl f,Nonfatal
653,employe catch finger in chain sprocket; injur four fin,Nonfatal
654,employe fall off ladder and fractur back,Nonfatal
655,employe fall from height and is injur,Nonfatal
656,"employe slip off roof, strike stair and fractur ankl",Nonfatal
657,employe check chain tension and amput fingertip,Nonfatal
658,employe fractur leg when struck by truck,Nonfatal
659,"employe trip over jack stand, falls, and fractur hip .",Nonfatal
660,employe fall from trailer bed and break leg,Nonfatal
661,employe grab onto rotat shaft and amput fingertip,Nonfatal
662,employe is reassembl machineri and amput fingertip,Nonfatal
663,employe crash pallet jack and crush foot,Nonfatal
664,employe catch finger in valv and amput fingertip,Nonfatal
665,employe is kill when struck by forklift,Fatal
666,employe finger is amput while load wood on forklif,Nonfatal
667,employe fall into chute of grain trailer and is kill,Fatal
668,employe fall through elev shaft land and is injur,Nonfatal
669,employe bypass safeti guard and amput fingertip,Nonfatal
670,employe faint and fall while drill hole on wall and i,Nonfatal
671,employe pinch finger with fall materi and amput ,Nonfatal
672,employe strike planer blade and partial amput two f,Nonfatal
673,employe catch hand in tire changer and amput right th,Nonfatal
674,employe is chang out roll and amput fingertip,Nonfatal
675,employe is clear jam in equip and sustain fractur,Nonfatal
676,employe is cut meat on bandsaw and amput ring fing,Nonfatal
677,employe is spray by chlorin liquid and suffer chemic ,Nonfatal
678,employe fall from barg and drown,Fatal
679,employe is pinch by stamp machin and amput finger,Nonfatal
680,employe amput finger while oper a drill press,Nonfatal
681,employe is struck by aluminum bar stock and shatter left t,Nonfatal
682,employe trip over shoe box and fractur hip,Nonfatal
683,employe catch finger under trench plate and fractur fin,Nonfatal
684,employe is caught in machin roller and amput fingerti,Nonfatal
685,employe is injur when brick wall fall,Nonfatal
686,employe catch hand on machin door and amput fingerti,Nonfatal
687,employe is clean machin and mangl hand,Nonfatal
688,employe is clean valv cart lacer middl two finger,Nonfatal
689,employe fall down stair and later die,Fatal
690,employe is caught in gearbox and suffer a broken arm,Nonfatal
691,employe is cut wood on tabl saw and amput finger,Nonfatal
692,"employe is blown of roof, fall and is injur",Nonfatal
693,employe is caught in conveyor and fractur arm,Nonfatal
694,employe catch finger in mechan press brake and amputa,Nonfatal
695,employe  amput finger when clear dust collector,Nonfatal
696,employe is caught between a warehous rack and forklift and,Nonfatal
697,employe fall from work platform and fractur wrist and b,Nonfatal
698,employe is injur when blown of roof by wind gust,Nonfatal
699,employe trip and factur back when trap by derrick fra,Nonfatal
700,employe leg is amput when concret barrier fall,Nonfatal
701,employe fall from trailer bed and suffer multipl injuri,Nonfatal
702,employe fall from ladder and fractur back,Nonfatal
703,employe is move dumpster and crush finger against wall,Nonfatal
704,employe die at work of natur caus,Fatal
705,employe catch hand in equip and tear patch of skin f,Nonfatal
706,employe is injur in fall from the third floor level,Nonfatal
707,employe has hand pull into tabl saw blade and amput ,Nonfatal
708,employe crush their thumb between the elev and well w,Nonfatal
709,employe fall from ladder jack is kill,Fatal
710,employe sustain broken rib when piston snap on bucket tr,Nonfatal
711,employe finger are amput when roller activ,Nonfatal
712,employe amput thumb in a revolv shaft,Nonfatal
713,employe is struck and kill by work vehicl patch road ,Fatal
714,employe ankl is fractur when caught between forklift a,Nonfatal
715,employe injur finger while make close hem on power l,Nonfatal
716,employe becom ill after exposur to exhaust from gas pow,Nonfatal
717,employe is servic automat feeder and amput fingert,Nonfatal
718,employe fall through unprotect edg at stairway open ,Nonfatal
719,employe is struck by pipe and fractur rib and vertebra,Nonfatal
720,employe arm is broken when caught between materi stock ,Nonfatal
721,employe is kill when boom snap and strike his head,Fatal
722,employe amput finger on an unguard fan blade,Nonfatal
723,employe fingertip is amput when caught between handl,Nonfatal
724,employe fall from ladder and is injur,Nonfatal
725,employe leg is fractur when tile fall,Nonfatal
726,employe fall from a ladder and is kill,Fatal
727,employe fall from a ladder and is kill,Fatal
728,employe lift propan bottl is later hospit,Nonfatal
729,employe is replac a blow bar and suffer a deep leg lace,Nonfatal
730,employe fall from ladder and fractur wrist,Nonfatal
731,employe thumb and finger are amput by band saw blade,Nonfatal
732,employe arm is amput by densifi machin,Nonfatal
733,employe sustain a fingertip amput when caught in pinc,Nonfatal
734,employe sustain multipl injur when he strike a clump o,Nonfatal
735,employe fingertip is amput when caught in gear,Nonfatal
736,employe is kill when entangl in boiler truck hydraul ,Fatal
737,employe is injur when lift basket fall with employe in ,Nonfatal
738,employe is injur when lift basket fall with employe in ,Nonfatal
739,employe fall up stair and sustain a head lacer,Nonfatal
740,employe fall from bridg and is kill,Fatal
741,employe amput finger on tube cut machin,Nonfatal
742,employe amput fingertip when caught between the frame a,Nonfatal
743,employe fingertip is amput by print machin,Nonfatal
